num_bikes_available;num_ebikes_available;station_id;legacy_id;num_docks_available;is_installed;num_docks_disabled;num_bikes_disabled;name;has_kiosk;lat;lon;capacity_original;zipCode;capacity_zip_sum;
13;13;d67375ea-3f93-4996-b0dc-f542341f2e6a;4771;6;1;0;2;43 Ave & 40 St;True;4.074.562;-7.392.402;21;11104;289;
6;5;398aa734-3893-4dba-a704-57ae8632c4f9;4314;15;1;0;0;30 Ave & 47 St;True;40.761.294;-73.909.562;21;11103;436;
6;5;a724eb92-55ca-4b9f-9a87-c2e87b3cbd40;4506;14;1;0;1;W Tremont Ave & Grand Ave;True;40.850.036;-73.912.785;21;10453;633;
8;0;1,82896E+18;1,82896E+18;10;1;0;1;Lott St & Erasmus St;True;4.064.949;-7.395.408;19;11226;713;
9;0;d2024260-cc58-451b-9417-3a695f8a1b34;4661;7;1;0;5;20 Ave & 31 St;True;4.078.001.336.610.560;-7.390.667.617.321.010;21;11105;731;
18;0;62e2b1dd-ca52-4e1c-a112-1d8846b9d9b5;4356;2;1;0;1;Greenwood Ave & E 4 St;True;40.650.739;-73.977.739;21;11218;736;
1;1;1,89846E+18;1,89846E+18;22;1;0;0;Grand Concourse & E 181 St;True;4.085.466;-739.015;23;10457;836;
20;2;3299ff79-36aa-42ef-b7f1-c40e95c8f570;3523;22;1;1;0;24 Ave & 29 St;True;407.729;-73.916.142;45;11105;731;
20;19;3b52be68-9123-46a9-bb45-f0d0646a5a81;4990;2;1;0;13;9 Ave & W 39 St;True;40.756.403.523.272.400;-7.399.410.143.494.600;36;10018;841;
12;4;d0b87aa7-7e19-40d2-8f7d-6a622e6ac391;4023;9;1;0;3;Adam Clayton Powell Blvd & W 141 St;True;40.819.241;-73.941.057;24;10030;198;
6;0;8a13182a-4823-4fe7-afcd-a4ef0b134ed9;4108;13;1;0;0;Clay Ave & E 173 St;True;40.843.264;-73.904.867;19;10457;836;
19;2;66db79a3-0aca-11e7-82f6-3863bb44ef7c;319;27;1;1;2;Fulton St & Broadway;True;40.711.066;-74.009.447;49;10007;547;
6;0;b7df61c0-8ead-46cb-9d6e-a6a3011ffb71;3600;20;1;0;1;31 Ave & Steinway St;True;407.611.488;-739.170.071;27;11103;436;
2;0;c56739c2-b310-4d73-ab0e-b6036abd9561;4318;20;1;0;2;Broadway & 49 St;True;40.755.389;-73.911.517;25;11377;1095;
113;11;1,82784E+18;1,82784E+18;2;1;0;5;Gansevoort St & Hudson St;True;4.073.937.600.789.770;-7.400.520.807.425.660;120;10014;1252;
0;0;6ca15d94-897a-4c81-ab47-366829afb7c4;3840;21;1;1;1;Putnam Ave & Wyckoff Ave;True;4.069.811;-7.390.904;24;11237;593;
0;0;03872f6b-a522-4c41-a4f2-5d0c41779e7b;4933;19;1;0;0;St Marks Ave & Ralph Ave;True;4.067.372;-7.392.199;19;11233;877;
16;1;79399e32-a6c6-4732-8ad4-9f9140a86b21;3726;1;1;0;2;Center Blvd & 51 Ave;True;4.074.336.608.027.020;-7.395.960.688.591.000;19;11101;1806;
7;2;81640d04-c36a-4fb1-98b0-85be10be516c;5014;12;1;1;1;Schenectady Ave & Pacific St;True;4.067.686;-7.393.327;21;11213;698;
20;0;66dd18dd-0aca-11e7-82f6-3863bb44ef7c;3102;4;1;0;3;Driggs Ave & Lorimer St;True;4.072.179.134;-739.504.154;27;11222;1314;
6;2;2e5cde21-f0a2-4396-899e-6df275e99212;4739;14;1;0;0;Valentine Ave & E 181 St;True;40.854.123.869.116;-7.389.932.222.664.350;21;10457;836;
7;5;66dcbf69-0aca-11e7-82f6-3863bb44ef7c;3050;12;1;0;2;Putnam Ave & Throop Ave;True;406.851.532;-7.394.111;21;11221;906;
24;0;66de2771-0aca-11e7-82f6-3863bb44ef7c;3377;0;1;0;1;Carroll St & Bond St;True;406.786.115;-7.399.037.292;25;11231;986;
20;2;9b7e3b8b-97ef-4038-820c-7cd1c1a34fc7;3490;8;1;0;3;E 116 St & 2 Ave;True;40.796.879;-73.937.261;31;10035;556;
22;1;66de103b-0aca-11e7-82f6-3863bb44ef7c;3337;1;1;0;0;Dwight St & Van Dyke St;True;4.067.363.551.341.500;-7.401.195.555.925.360;23;11231;986;
9;1;923a60f7-2a0e-4a31-8dd5-66c8518c929e;4776;10;1;0;2;48 Ave & 41 St;True;4.073.985.995.699.160;-7.392.400.324.344.630;21;11104;289;
1;0;5e93b806-08e1-4ef9-98ae-d3dda20e0469;5032;23;1;0;0;Eastern Pkwy & Schenectady Ave;True;4.066.876;-7.393.376;24;11213;698;
3;3;fb180cce-96ee-4e66-b3ce-000f3db6e670;4968;25;1;0;2;Eastern Pkwy & Kingston Ave;True;4.066.959;-7.394.237;30;11213;698;
15;1;1,82897E+18;1,82897E+18;4;1;0;0;30 Ave & 80 St;True;4.076.109;-7.388.838;19;11370;481;
57;4;39f756c2-3904-463e-95a8-8d8e3540e845;4722;1;1;0;11;W 25 St & 9 Ave;True;4.074.783.260.583.770;-740.005.722.643.582;68;10001;1144;
0;0;1,85125E+18;1,85125E+18;23;1;0;1;Benham St & Roosevelt Ave;True;4.074.841;-738.751;24;11373;769;
11;9;6a52ceae-3b97-487a-9438-de844bfbf1c2;4109;9;1;0;1;Amsterdam Ave & W 183 St;True;4.084.925;-7.393.022;21;10033;358;
33;1;3013d5ac-f7bb-4e98-a49a-b9f7b76a3b50;4387;1;1;0;1;58 St & 2 Ave;True;40.644.512;-74.021.506;35;11220;832;
16;5;b7c6ce96-a24d-4c1e-93ee-6f49c1adf119;4165;3;1;0;1;E 165 St & Clay Ave;True;4.082.809;-7.391.288;19;10456;607;
49;18;66db631c-0aca-11e7-82f6-3863bb44ef7c;284;14;1;2;9;Greenwich Ave & 8 Ave;True;407.390.169.121;-740.026.376.103;75;10011;1628;
18;0;1,86019E+18;1,86019E+18;2;1;0;5;Boston Rd & E 178 St;True;4.084.096;-7.387.923;25;10460;399;
12;10;2b33334b-243c-4a16-a6d2-32304c8884f1;4551;6;1;0;2;Popham Ave & W 174 St;True;40.847.746;-73.922.079;20;10453;633;
6;0;afd76a0e-ceb8-4d18-a427-b378c4d07a75;4591;21;1;0;2;Dock St & Front St;True;40.702.709;-7.399.253;29;11201;2201;
15;3;e10a6e12-d98c-4625-940a-9f83d9b2f6c4;4277;4;1;0;2;20 Ave & 42 St;True;40.775.415;-73.900.063;21;11105;731;
11;3;fea72f55-d296-47af-9446-149688dcccbd;4212;4;1;0;4;Franklin Ave & E 169 St;True;4.083.171;-7.390.208;19;10456;607;
27;3;1,78669E+18;1,78669E+18;6;1;0;2;Greenpoint Ave & West St;True;40.729.803;-73.959.099;35;11222;1314;
6;4;ffef95fa-600b-4f08-b2ce-e8eb034ebfd8;4785;23;1;0;2;46 St & Queens Blvd;True;4.074.349.759.836.970;-7.391.860.529.780.380;33;11104;289;
1;1;fac701fb-c433-496e-933b-ea137dbe7fe1;4553;17;1;0;0;Andrew Ave N & Hall of Fame Tce;True;4.085.834;-7.391.008;19;10453;633;
32;4;66dc90d5-0aca-11e7-82f6-3863bb44ef7c;2008;1;1;0;1;Little West St & 1 Pl;True;4.070.569.254;-7.401.677.685;35;10004;387;
3;1;679dcf08-d88c-4d1b-b81d-fe9f4aabbff7;3879;20;1;0;2;Broadway & Madison St;True;4.068.822;-7.391.966;25;11221;906;
20;6;d9bc0b3e-1af8-4cb6-a082-8ef1245ef329;3506;8;1;1;0;Lexington Ave & E 120 St;True;408.013.066;-739.398.167;29;10035;556;
17;0;dccab832-b4a2-4105-927d-b52ec0d92c92;4372;2;1;0;0;34 St & 5 Ave;True;40.654.098;-74.001.131;19;11232;613;
17;11;66dd4f31-0aca-11e7-82f6-3863bb44ef7c;3170;12;1;2;4;W 84 St & Columbus Ave;True;4.078.499.979;-7.397.283.406;35;10024;632;
10;2;1,83525E+18;1,83525E+18;20;1;0;0;99 St & 38 Ave;True;4.075.055;-7.386.725;30;11368;996;
9;1;b9deb521-41b6-4f8a-ac78-0e58e3977f2c;4886;15;1;0;2;Stuyvesant Ave & Hart St;True;4.069.465;-739.343;27;11221;906;
