is_returning,last_reported,num_scooters_unavailable,num_bikes_available,num_ebikes_available,station_id,num_scooters_available,legacy_id,num_docks_available,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,eightd_has_available_keys,eightd_station_services,name,has_kiosk,station_type,region_id,lat,electric_bike_surcharge_waiver,lon,rental_methods,rental_uris,capacity_original,eightd_has_key_dispenser,zipCode,capacity_zip_sum
1,1709605455,0.0,6,3,f3f46097-54cf-4c30-805a-6b2a4851eed7,0.0,4285,18,1,0,0,1,False,[],46 St & 25 Ave,True,classic,71.0,40.765753,False,-73.90676,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",24,False,11103,436
1,1709605455,0.0,10,0,9d56294e-61fc-4176-bb9c-4692f45bb374,0.0,3972,10,1,0,3,1,False,[],E 158 St & Melrose Ave,True,classic,71.0,40.822215,False,-73.914688,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,10451,645
1,1709605454,0.0,5,0,f6cf3ecc-b3ad-4291-8c24-277f28f64ba1,0.0,3780,16,1,0,1,1,False,[],Wyckoff Ave & Stanhope St,True,classic,71.0,40.703545,False,-73.917775,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",22,False,11237,593
1,1709605459,0.0,31,15,66dbbeda-0aca-11e7-82f6-3863bb44ef7c,0.0,347,42,1,0,7,1,False,[],Greenwich St & W Houston St,True,classic,71.0,40.728846,False,-74.008591,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",80,False,10014,1252
1,1709605460,0.0,18,0,f42b3158-3f78-4a62-964a-8cc554d69c35,0.0,5061,0,1,0,0,1,False,[],Maple St & Albany Ave,True,classic,71.0,40.66155,False,-73.93974,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,11203,742
1,1709605460,0.0,26,15,66dde271-0aca-11e7-82f6-3863bb44ef7c,0.0,3287,19,1,0,1,1,False,[],W 87 St & West End Ave,True,classic,71.0,40.789622,False,-73.97757,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",47,False,10024,632
1,1709605460,0.0,4,2,c8197f4b-02b0-4cc3-96af-df5fec27a279,0.0,3955,15,1,0,0,1,False,[],St Mary's St & Jackson Ave,True,classic,71.0,40.808891,False,-73.91081,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,10455,464
1,1709605451,0.0,5,1,5d101095-011e-4541-ae64-bed8b52807b3,0.0,4960,23,1,0,2,1,False,[],7 Ave & 62 St,True,classic,71.0,40.63556,False,-74.01298,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",30,False,11220,832
1,1709605451,0.0,22,0,1814907277023901890,0.0,1814907277023901890,1,1,0,2,1,False,[],Cortelyou Rd & Argyle Rd,True,classic,,40.64034,False,-73.96603,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",25,False,11226,713
1,1709605472,0.0,1,1,bdc116cd-4d63-4693-846c-ec5073314007,0.0,4636,18,1,0,1,1,False,[],W 192 St & University Ave,True,classic,71.0,40.866899,False,-73.901942,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,10468,708
