eightd_station_services,name,station_id,has_kiosk,station_type,region_id,lat,electric_bike_surcharge_waiver,lon,rental_methods,rental_uris,capacity,eightd_has_key_dispenser,zipCode
[],Queens Blvd & Albion Ave,1849008925260421550,True,classic,,40.73856,False,-73.88553,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,11373
[],Southern Blvd & E 172 St,94624d6e-4150-4ab1-92ff-bf55cb58ab61,True,classic,71,40.834124,False,-73.88955,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,10460
[],Thomas S. Boyland St & Fulton St,ffaa8f6a-a4ea-4d3a-a57c-f42f77cd4581,True,classic,71,40.67854,False,-73.91367,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",24,False,11233
[],Bergen St & Smith St,66de542a-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.6867443,False,-73.99063168,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",48,False,11201
[],51 St & 43 Ave,785b3e6b-dab5-4d25-afab-e2a1ef918669,True,classic,71,40.74451,False,-73.91412,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",27,False,11377
[],Andrews Ave S & W 179 St,4753c893-e4bd-4d6a-bc4d-42209a19ebeb,True,classic,71,40.855156,False,-73.91278,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,10453
[],Front St & Gold St,66dc0bbd-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.70224,False,-73.982578,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",37,False,11201
[],Kingsbridge Terrace & W 230 St,1864605659096685518,True,classic,,40.87555,False,-73.90212,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,10468
[],88 St & Astoria Blvd,1834145468418707676,True,classic,,40.76424,False,-73.8812,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,11369
[],Wythe Ave & Metropolitan Ave,66dc8eb1-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.716887,False,-73.963198,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",57,False,11249
[],Corona Ave & 98 St,1849009534951225816,True,classic,,40.74448,False,-73.86516,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,11368
[],43 Ave & 47 St,a82cc641-0926-4a63-b488-7060ab7dcd74,True,classic,71,40.7448062877224,False,-73.91728967428207,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",33,False,11104
[],Gerard Ave & McClellan St,9c2a741d-7f3e-4aa1-b58b-db5c3e6bcb20,True,classic,71,40.833909,False,-73.92112,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",30,False,10452
[],Palmetto St & Traffic Ave,15e1568b-f502-47a2-9d3d-b5aaa1edc239,True,classic,71,40.70929,False,-73.89441,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,11385
[],Clay Ave & E 173 St,8a13182a-4823-4fe7-afcd-a4ef0b134ed9,True,classic,71,40.843264,False,-73.904867,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,10457
[],St Ann's Ave & Westchester Ave,40914c6b-293d-49ac-b83a-d9d4af998aea,True,classic,71,40.815887,False,-73.911918,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,10455
[],Wadsworth Ave & W 175 St,3bf69f3e-23f6-4abe-b5fe-dabe6b0ea066,True,classic,71,40.846052,False,-73.937648,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",24,False,10033
